id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8717988,Mercedes,C 300,2020,Bakı,54400,Yaş Asfalt,54000,2.0,254,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2388
8688840,Mercedes,GLC 300 4MATIC,2020,Bakı,65450,Ağ,45000,2.0,249,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1294
8706389,Mercedes,CLA 250,2014,Bakı,31000,Yaş Asfalt,148000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4983
8689365,Mercedes,E 220 d,2013,Bakı,36700,Yaş Asfalt,131500,2.2,150,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3805
8714347,Mercedes,G 63 AMG,2015,Bakı,147900,Qara,72000,5.5,571,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2545
7652944,Mercedes,C 180,2014,Bakı,39950,Yaş Asfalt,202943,1.6,156,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2263
8751223,Mercedes,Vito 111,2010,Bakı,27300,Ağ,285000,2.2,109,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",77
8751208,Mercedes,C 240,1999,Masallı,14000,Gümüşü,310000,2.4,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",245
8720744,Mercedes,Vito 111,2008,Bakı,21500,Ağ,170000,2.2,116,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",483
8141587,Mercedes,G 63 AMG,2018,Bakı,314500,Yaş Asfalt,72000,4.0,585,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1569
8604329,Mercedes,E 220 d,2006,Bakı,20900,Gümüşü,330000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2306
8314798,Mercedes,G 63 AMG,2013,Bakı,101150,Ağ,93500,5.5,544,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4501
8719269,Mercedes,E 220 d,2008,Bakı,28800,Yaş Asfalt,281000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1179
8725248,Mercedes,S 320,2001,Sumqayıt,10900,Gümüşü,313000,3.2,224,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1922
8724233,Mercedes,E 220 d,1999,Sumqayıt,13300,Göy,446000,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1546
8703049,Mercedes,E 220 d,2015,Bakı,41480,Ağ,176500,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3758
8637116,Mercedes,C 180,1997,Sumqayıt,9800,Göy,387000,1.8,122,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1076
8742498,Mercedes,E 200,2013,Bakı,33660,Qara,203000,2.0,184,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",836
8493173,Mercedes,Vito 115,2008,Bakı,21500,Ağ,212500,2.2,150,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",4763
8709575,Mercedes,GLE 450 AMG 4MATIC,2019,Bakı,132600,Qara,24913,3.0,367,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3083
8638377,Mercedes,E 200,1994,Bakı,9000,Qara,570713,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",7945
8737266,Mercedes,E 220 d,2000,Lənkəran,16500,Qara,415000,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2237
8517705,Mercedes,C 220 d,1999,Sumqayıt,12800,Yaşıl,313000,2.2,125,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2829
8720694,Mercedes,C 230,1998,Bakı,9100,Göy,333000,2.3,193,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",21942
8681384,Mercedes,S 350,2011,Sumqayıt,37060,Yaş Asfalt,284000,3.5,306,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3904
8167610,Mercedes,C 230,1998,Sumqayıt,9800,Göy,350000,2.3,192,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2987
8550762,Mercedes,E 250,2013,Bakı,38590,Boz,276000,2.2,204,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",7262
8727339,Mercedes,ML 320 4MATIC,2002,Bakı,13500,Qara,264500,3.2,218,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",609
8650707,Mercedes,CLK 230,1999,Sumqayıt,12700,Qara,406000,2.3,193,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1117
8710111,Mercedes,GL 500 4MATIC,2011,Bakı,34700,Qara,190800,5.5,388,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1433
8694081,Mercedes,E 350 4MATIC,2016,Bakı,47600,Ağ,149000,2.0,249,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",7178
8732642,Mercedes,E 200,2000,Bakı,12800,Gümüşü,331000,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",2744
8267254,Mercedes,Sprinter 315,2006,Bakı,29600,Ağ,227000,2.2,109,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",633
8718080,Mercedes,Vito 115,2008,Bakı,21800,Ağ,341000,2.2,150,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",1003
8721311,Mercedes,E 220 d,1998,Bakı,14500,Yaşıl,268157,2.2,125,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",899
8751148,Mercedes,E 280,2000,Bakı,16800,Gümüşü,401000,2.8,204,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",75
8728514,Mercedes,E 280,2001,Bakı,14900,Gümüşü,221000,2.8,204,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",3364
8672637,Mercedes,C 220 d,1999,Bakı,10500,Gümüşü,222222,2.2,125,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1525
7448309,Mercedes,GLB 200 4MATIC,2023,Bakı,109779,Qara,0,1.4,163,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",5286
8337924,Mercedes,E 220 d,2023,Bakı,130898,Qara,0,2.0,194,Dizel,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",2229
8690599,Mercedes,E 350 4MATIC,2011,Bakı,26900,Qara,190000,3.5,306,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2130
8715722,Mercedes,E 300 e,2021,Bakı,76330,Qara,14500,2.0,245,Plug-in Hibrid,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",6497
8740415,Mercedes,C 220,1995,Sumqayıt,9300,Ağ,320000,2.2,150,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4000
7978809,Mercedes,GLE 53 AMG 4MATIC Coupe,2023,Bakı,239128,Qara,0,3.0,435,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",8680
8441849,Mercedes,S 450 4MATIC,2023,Bakı,307786,Qara,0,3.0,381,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",170
8383858,Mercedes,GLS 450 4MATIC,2023,Bakı,262128,Boz,0,3.0,381,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",129
8413525,Mercedes,GLC 200 4MATIC+ Coupe,2024,Bakı,139564,Ağ,0,2.0,197,Benzin,Avtomat,Bəli,"Vuruğu yoxdur, rənglənməyib",1927
8709476,Mercedes,E 240,1999,Bakı,12400,Qara,324675,2.4,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1034
8343112,Mercedes,GL 400 4MATIC,2015,Bakı,56950,Ağ,188000,3.0,333,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1349
8679919,Mercedes,GLE 250 4MATIC,2016,Bakı,59160,Ağ,163000,2.2,204,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",3064
